,date,1w,2w,1m,2m,3m,4m,5m,6m,9m,12m,18m,2y
2019-04-29,2019-04-29,-0.31,-0.4,-0.34,-0.36,-0.26,-0.29,-0.28,-0.28,-0.33,-0.38,-0.45,-0.48
2019-04-30,2019-04-30,-0.63,-0.45,-0.35,-0.35,-0.26,-0.32,-0.32,-0.3,-0.34,-0.39,-0.48,-0.41
2019-05-01,2019-05-01,-0.36,-0.45,-0.35,-0.35,-0.26,-0.32,-0.31,-0.29,-0.31,-0.37,-0.44,-0.36
2019-05-02,2019-05-02,-0.85,-0.78,-0.6,-0.52,-0.36,-0.37,-0.37,-0.35,-0.38,-0.4,-0.46,-0.43
2019-05-03,2019-05-03,-0.46,-0.82,-0.61,-0.47,-0.36,-0.41,-0.37,-0.36,-0.4,-0.43,-0.49,-0.44
2019-05-06,2019-05-06,-0.41,-0.45,-0.46,-0.44,-0.37,-0.38,-0.36,-0.34,-0.38,-0.43,-0.5,-0.5
2019-05-07,2019-05-07,-0.33,-0.38,-0.39,-0.37,-0.36,-0.36,-0.33,-0.34,-0.37,-0.41,-0.48,-0.42
2019-05-08,2019-05-08,-0.34,-0.42,-0.43,-0.45,-0.4,-0.37,-0.37,-0.35,-0.37,-0.42,-0.49,-0.48
2019-05-09,2019-05-09,-0.43,-0.56,-0.53,-0.49,-0.43,-0.4,-0.39,-0.38,-0.42,-0.45,-0.54,-0.51
2019-05-10,2019-05-10,-0.35,-0.41,-0.45,-0.43,-0.41,-0.4,-0.39,-0.38,-0.41,-0.45,-0.49,-0.46
2019-05-13,2019-05-13,-0.45,-0.41,-0.36,-0.42,-0.39,-0.41,-0.41,-0.4,-0.45,-0.49,-0.51,-0.52
2019-05-14,2019-05-14,-0.45,-0.42,-0.33,-0.4,-0.38,-0.39,-0.38,-0.37,-0.43,-0.49,-0.53,-0.51
2019-05-15,2019-05-15,-0.26,-0.28,-0.3,-0.39,-0.38,-0.38,-0.38,-0.38,-0.42,-0.49,-0.55,-0.58
2019-05-16,2019-05-16,-0.18,-0.32,-0.3,-0.35,-0.39,-0.37,-0.36,-0.34,-0.4,-0.47,-0.55,-0.55
2019-05-17,2019-05-17,0.04,-0.22,-0.25,-0.28,-0.39,-0.32,-0.32,-0.32,-0.37,-0.43,-0.53,-0.54
2019-05-20,2019-05-20,0.07,-0.29,-0.21,-0.3,-0.28,-0.29,-0.31,-0.28,-0.34,-0.4,-0.49,-0.53
2019-05-21,2019-05-21,0.06,-0.3,-0.21,-0.33,-0.28,-0.28,-0.3,-0.27,-0.32,-0.38,-0.47,-0.5
2019-05-22,2019-05-22,-0.1,-0.17,-0.16,-0.25,-0.23,-0.26,-0.26,-0.24,-0.32,-0.38,-0.45,-0.54
2019-05-23,2019-05-23,0.24,0.07,0.02,-0.13,-0.17,-0.17,-0.18,-0.21,-0.34,-0.41,-0.48,-0.55
2019-05-24,2019-05-24,0.42,0.2,0.15,-0.03,-0.13,-0.18,-0.15,-0.19,-0.3,-0.39,-0.48,-0.55
2019-05-27,2019-05-27,0.07,0.03,0.08,-0.07,-0.21,-0.2,-0.16,-0.17,-0.27,-0.32,-0.4,-0.47
2019-05-28,2019-05-28,0.32,-0.21,0.27,-0.06,-0.13,-0.14,-0.1,-0.09,-0.18,-0.26,-0.36,-0.52
2019-05-29,2019-05-29,0.4,0.11,0.32,0.04,-0.08,-0.12,-0.09,-0.08,-0.16,-0.25,-0.33,-0.41
2019-05-30,2019-05-30,0.06,-0.02,0.06,-0.01,-0.1,-0.11,-0.09,-0.09,-0.18,-0.28,-0.34,-0.44
2019-05-31,2019-05-31,0.53,-0.13,0.01,-0.14,-0.15,-0.12,-0.12,-0.12,-0.25,-0.34,-0.41,-0.45
2019-06-03,2019-06-03,-0.02,0.03,0.03,-0.09,-0.16,-0.17,-0.14,-0.16,-0.26,-0.4,-0.44,-0.44
2019-06-04,2019-06-04,-0.01,0.19,0.05,-0.15,-0.15,-0.18,-0.16,-0.14,-0.23,-0.35,-0.38,-0.43
2019-06-05,2019-06-05,0.07,0.03,0.07,-0.1,-0.13,-0.15,-0.14,-0.13,-0.23,-0.32,-0.37,-0.44
2019-06-06,2019-06-06,0.06,0.02,-0.07,-0.05,-0.13,-0.15,-0.13,-0.14,-0.17,-0.32,-0.37,-0.49
2019-06-07,2019-06-07,0.8,0.09,0.05,-0.01,-0.04,-0.05,-0.06,-0.09,-0.04,-0.18,-0.31,-0.46
2019-06-10,2019-06-10,0.04,0.12,0.0,0.05,0.08,0.11,0.12,0.1,0.04,-0.01,-0.13,-0.33
2019-06-11,2019-06-11,0.04,0.0,0.01,-0.05,0.03,0.03,0.03,0.01,-0.04,-0.05,-0.05,-0.29
2019-06-12,2019-06-12,-0.04,-0.04,-0.06,-0.01,0.05,0.04,0.02,0.02,-0.06,-0.06,-0.19,-0.33
2019-06-13,2019-06-13,-0.05,-0.08,-0.08,-0.04,0.04,-0.0,-0.03,-0.05,-0.12,-0.16,-0.26,-0.38
2019-06-14,2019-06-14,0.12,0.06,-0.05,-0.03,0.06,0.04,-0.01,-0.03,-0.1,-0.15,-0.25,-0.36
2019-06-17,2019-06-17,0.04,0.04,0.0,0.03,0.1,0.07,0.02,-0.01,-0.08,-0.11,-0.21,-0.36
2019-06-18,2019-06-18,-0.22,0.03,-0.16,0.01,0.04,0.03,-0.02,-0.05,-0.1,-0.11,-0.23,-0.36
2019-06-19,2019-06-19,-0.91,-0.32,-0.55,-0.24,-0.18,-0.16,-0.18,-0.21,-0.27,-0.29,-0.4,-0.41
2019-06-20,2019-06-20,-1.89,-1.54,-1.19,-0.37,-0.35,-0.3,-0.28,-0.28,-0.3,-0.26,-0.36,-0.45
2019-06-21,2019-06-21,-1.98,-1.47,-1.07,-0.6,-0.33,-0.29,-0.29,-0.3,-0.32,-0.33,-0.37,-0.37
2019-06-24,2019-06-24,-1.19,-0.86,-0.88,-0.53,-0.36,-0.29,-0.29,-0.32,-0.36,-0.38,-0.43,-0.43
2019-06-25,2019-06-25,-1.11,-0.95,-0.83,-0.54,-0.38,-0.32,-0.32,-0.35,-0.37,-0.38,-0.43,-0.47
2019-06-26,2019-06-26,-0.75,-1.35,-1.09,-0.53,-0.39,-0.33,-0.34,-0.32,-0.37,-0.37,-0.4,-0.47
2019-06-27,2019-06-27,-0.75,-0.78,-0.88,-0.45,-0.39,-0.32,-0.28,-0.29,-0.34,-0.37,-0.4,-0.47
2019-06-28,2019-06-28,-0.79,-0.32,-0.47,-0.34,-0.31,-0.24,-0.24,-0.25,-0.31,-0.35,-0.34,-0.42
2019-07-01,2019-07-01,0.13,0.07,-0.47,-0.21,-0.19,-0.18,-0.21,-0.19,-0.27,-0.31,-0.34,-0.45
2019-07-02,2019-07-02,0.42,0.08,-0.06,-0.08,-0.2,-0.12,-0.14,-0.19,-0.25,-0.27,-0.35,-0.47
2019-07-03,2019-07-03,0.77,0.29,0.05,-0.03,-0.08,-0.11,-0.14,-0.16,-0.24,-0.28,-0.34,-0.44
2019-07-04,2019-07-04,0.42,0.21,0.01,-0.05,-0.08,-0.11,-0.14,-0.16,-0.24,-0.28,-0.35,-0.44
2019-07-05,2019-07-05,0.55,0.28,0.19,0.05,-0.05,-0.08,-0.09,-0.11,-0.17,-0.21,-0.26,-0.38
2019-07-08,2019-07-08,0.6,0.22,0.12,0.01,-0.02,-0.04,-0.09,-0.1,-0.15,-0.18,-0.26,-0.38
2019-07-09,2019-07-09,-0.04,-0.04,0.06,0.01,-0.11,-0.1,-0.1,-0.11,-0.13,-0.18,-0.23,-0.36
2019-07-10,2019-07-10,-0.29,-0.2,-0.11,-0.14,-0.13,-0.12,-0.13,-0.14,-0.21,-0.27,-0.31,-0.38
2019-07-11,2019-07-11,-0.12,-0.16,-0.2,-0.1,-0.14,-0.16,-0.17,-0.18,-0.23,-0.25,-0.3,-0.37
2019-07-12,2019-07-12,0.27,-0.08,-0.07,-0.09,-0.08,-0.11,-0.14,-0.16,-0.21,-0.24,-0.3,-0.36
2019-07-15,2019-07-15,-0.02,-0.04,-0.03,-0.07,-0.08,-0.11,-0.12,-0.12,-0.18,-0.21,-0.26,-0.33
2019-07-16,2019-07-16,-0.04,-0.04,-0.03,-0.07,-0.08,-0.11,-0.12,-0.11,-0.17,-0.2,-0.25,-0.31
2019-07-17,2019-07-17,-0.04,-0.04,-0.03,-0.07,-0.06,-0.06,-0.08,-0.07,-0.13,-0.16,-0.23,-0.36
2019-07-18,2019-07-18,-0.44,-0.3,-0.02,-0.07,-0.08,-0.17,-0.15,-0.12,-0.18,-0.22,-0.27,-0.4
2019-07-19,2019-07-19,-0.5,-0.43,-0.18,-0.23,-0.18,-0.2,-0.18,-0.1,-0.1,-0.11,-0.16,-0.27
2019-07-22,2019-07-22,-0.53,-0.29,-0.18,-0.25,-0.18,-0.14,-0.1,-0.06,-0.09,-0.09,-0.14,-0.3
2019-07-23,2019-07-23,-0.53,-0.17,-0.21,-0.28,-0.23,-0.16,-0.13,-0.06,-0.1,-0.11,-0.17,-0.3
2019-07-24,2019-07-24,-1.49,-0.82,-0.63,-0.56,-0.56,-0.35,-0.43,-0.3,-0.25,-0.21,-0.24,-0.26
2019-07-25,2019-07-25,-1.39,-0.69,-0.54,-0.73,-0.62,-0.63,-0.49,-0.38,-0.32,-0.27,-0.32,-0.32
2019-07-26,2019-07-26,-0.75,-0.1,-0.17,-0.33,-0.36,-0.35,-0.33,-0.25,-0.25,-0.21,-0.28,-0.39
2019-07-29,2019-07-29,-0.01,-0.01,-0.03,-0.08,-0.07,-0.11,-0.07,-0.04,-0.11,-0.16,-0.25,-0.35
2019-07-30,2019-07-30,-0.18,-0.29,-0.14,-0.19,-0.19,-0.16,-0.12,-0.08,-0.16,-0.16,-0.28,-0.35
2019-07-31,2019-07-31,-1.07,-0.71,-0.48,-0.35,-0.28,-0.27,-0.19,-0.12,-0.17,-0.15,-0.25,-0.27
2019-08-01,2019-08-01,-0.76,-0.48,-0.33,-0.39,-0.27,-0.33,-0.29,-0.24,-0.29,-0.3,-0.41,-0.45
2019-08-02,2019-08-02,-0.6,-0.5,-0.36,-0.39,-0.31,-0.47,-0.38,-0.31,-0.34,-0.31,-0.37,-0.39
2019-08-05,2019-08-05,-0.7,-0.57,-0.33,-0.41,-0.37,-0.49,-0.43,-0.4,-0.42,-0.39,-0.45,-0.41
2019-08-06,2019-08-06,-1.21,-0.73,-0.57,-0.44,-0.35,-0.45,-0.48,-0.39,-0.4,-0.38,-0.43,-0.44
2019-08-07,2019-08-07,-1.2,-0.87,-0.61,-0.57,-0.4,-0.55,-0.49,-0.45,-0.43,-0.38,-0.37,-0.39
2019-08-08,2019-08-08,-0.87,-0.72,-0.71,-0.56,-0.37,-0.49,-0.42,-0.37,-0.37,-0.34,-0.33,-0.42
